id,rank,pop,core,names,name,source
18517,1,67173134,Y,"[""Shanghai"", ""Suzhou""]",Shanghai-Suzhou,OSM
18696,2,66517342,Y,"[""Cairo""]",Cairo,OSM
48544,3,65472996,Y,"[""Jakarta""]",Jakarta,OSM
30548,4,62129782,Y,"[""Shenzhen"", ""Guangzhou"", ""Foshan""]",Shenzhen-Guangzhou-Foshan,OSM
9563,5,50028339,Y,"[""Beijing"", ""Tianjin""]",Beijing-Tianjin,OSM
13731,6,39507089,Y,"[""Tokyo""]",Tokyo,OSM
21563,7,35294985,Y,"[""Delhi""]",Delhi,OSM
40291,8,31336626,Y,"[""Ho Chi Minh City""]",Ho Chi Minh City,OSM
36742,9,29441457,Y,"[""Quezon City"", ""Manila"", ""Caloocan""]",Quezon City-Manila-Caloocan,OSM
11338,10,26133061,Y,"[""Seoul""]",Seoul,OSM
30122,11,25043933,Y,"[""Dhaka""]",Dhaka,OSM
33795,12,24758887,Y,"[""Mumbai""]",Mumbai,OSM
30033,13,24294498,Y,"[""Kolkata""]",Kolkata,OSM
8156,14,24046442,Y,"[""New York""]",New York,OSM
32568,15,22800872,Y,"[""Hanoi""]",Hanoi,OSM
27128,16,21633534,Y,"[""Patna""]",Patna,OSM
52136,17,21039496,Y,"[""Guarulhos"", ""Osasco""]",Guarulhos-Osasco,OSM
38353,18,20672541,Y,"[""Bangkok""]",Bangkok,OSM
48897,19,20155891,Y,"[""Semarang"", ""Pati""]",Semarang-Pati,OSM
48937,20,19881498,Y,"[""Surabaya""]",Surabaya,OSM
33579,21,19017431,Y,"[""Mexico City""]",Mexico City,OSM
26514,22,18773150,Y,"[""Karachi""]",Karachi,OSM
14986,23,17597379,Y,"[""Osaka"", ""Kobe"", ""Kyoto""]",Osaka-Kobe-Kyoto,OSM
20953,24,17360582,Y,"[""Hangzhou"", ""Ningbo""]",Hangzhou-Ningbo,OSM
680,25,16483785,Y,"[""Moscow""]",Moscow,OSM
15037,26,16468567,Y,"[""Los Angeles""]",Los Angeles,OSM
19018,27,15558629,Y,"[""Lahore""]",Lahore,OSM
52507,28,15065321,Y,"[""Johannesburg""]",Johannesburg,OSM
23492,29,14772057,Y,"[""Asyut""]",Asyut,OSM
28043,30,14771509,Y,"[""Quanzhou"", ""Zhangzhou""]",Quanzhou-Zhangzhou,OSM
8411,31,14650815,Y,"[""Istanbul""]",Istanbul,OSM
53568,32,14327542,Y,"[""Buenos Aires""]",Buenos Aires,OSM
38274,33,14172148,Y,"[""Bengaluru""]",Bengaluru,OSM
1978,34,13925712,Y,"[""London""]",London,OSM
44182,35,13544508,Y,"[""Lagos""]",Lagos,OSM
14285,36,13418245,Y,"[""Tehran""]",Tehran,OSM
30607,37,13408918,Y,"[""Jieyang"", ""Shantou""]",Jieyang-Shantou,OSM
15508,38,13269065,Y,"[""Peshawar""]",Peshawar,OSM
48031,39,12911534,Y,"[""Kinshasa""]",Kinshasa,OSM
51931,40,12653811,Y,"[""Rio de Janeiro""]",Rio de Janeiro,OSM
44312,41,12413137,Y,"[""Onitsha"", ""Nnewi""]",Onitsha-Nnewi,OSM
14994,42,12402606,Y,"[""Nagoya""]",Nagoya,OSM
38344,43,11771559,Y,"[""Chennai""]",Chennai,OSM
3750,44,11098007,Y,"[""Paris""]",Paris,OSM
28048,45,10950743,Y,"[""Taipei"", ""Taoyuan""]",Taipei-Taoyuan,OSM
19193,46,10608705,Y,"[""Chengdu""]",Chengdu,OSM
2666,47,10606608,Y,"[""Cologne"", ""Dusseldorf"", ""Dortmund"", ""Essen""]",Cologne-Dusseldorf-Dortmund,OSM
45328,48,10559461,Y,"[""Bogota""]",Bogota,OSM
50026,49,10469963,Y,"[""Lima""]",Lima,OSM
13537,50,10268052,Y,"[""Jinan""]",Jinan,OSM
21859,51,10104570,Y,"[""Chongqing""]",Chongqing,OSM
49481,52,10101970,Y,"[""Luanda""]",Luanda,OSM
20772,53,9584855,Y,"[""Wuhan""]",Wuhan,OSM
35139,54,9562469,Y,"[""Hyderabad""]",Hyderabad,OSM
41081,55,9205946,Y,"[""Kochi"", ""Ernakulam""]",Kochi-Ernakulam,OSM
46122,56,8953113,Y,"[""Kuala Lumpur"", ""Kajang""]",Kuala Lumpur-Kajang,OSM
7515,57,8678751,Y,"[""Chicago""]",Chicago,OSM
15728,58,8540038,Y,"[""Xi'an""]",Xi'an,OSM
18458,59,8133477,Y,"[""Nanjing""]",Nanjing,OSM
42024,60,8036769,Y,"[""Thiruvananthapuram""]",Thiruvananthapuram,OSM
28112,61,7952633,Y,"[""Riyadh""]",Riyadh,OSM
46329,62,7849379,Y,"[""Singapore""]",Singapore,OSM
7984,63,7809002,Y,"[""Shenyang""]",Shenyang,OSM
13392,64,7803085,Y,"[""Handan""]",Handan,OSM
30920,65,7728302,Y,"[""Ahmedabad""]",Ahmedabad,OSM
5392,66,7619690,Y,"[""Milan""]",Milan,OSM
23416,67,7474585,Y,"[""Wenzhou""]",Wenzhou,OSM
34464,68,7330793,Y,"[""Pune"", ""Pimpri-Chinchwad""]",Pune-Pimpri-Chinchwad,OSM
48852,69,7193957,Y,"[""Dar es-Salaam""]",Dar es-Salaam,OSM
53425,70,7020910,Y,"[""Santiago""]",Santiago,OSM
46848,71,6949609,Y,"[""Nairobi""]",Nairobi,OSM
9854,72,6947271,Y,"[""Washington"", ""Baltimore""]",Washington-Baltimore,OSM
11148,73,6820837,Y,"[""Shijiazhuang""]",Shijiazhuang,OSM
8586,74,6820528,Y,"[""Namangan"", ""Andijan""]",Namangan-Andijan,OSM
6346,75,6810283,Y,"[""Toronto""]",Toronto,OSM
32073,76,6718338,Y,"[""Surat""]",Surat,OSM
15882,77,6716682,Y,"[""Zhengzhou""]",Zhengzhou,OSM
8993,78,6711879,Y,"[""Madrid""]",Madrid,OSM
16554,79,6683699,Y,"[""Baghdad""]",Baghdad,OSM
36284,80,6637034,Y,"[""Khartoum"", ""Omdurman""]",Khartoum-Omdurman,OSM
42697,81,6550730,Y,"[""Addis Ababa""]",Addis Ababa,OSM
16322,82,6547803,Y,"[""Dallas"", ""Fort Worth""]",Dallas-Fort Worth,OSM
17691,83,6501178,Y,"[""Amman""]",Amman,OSM
19744,84,6387009,Y,"[""Houston""]",Houston,OSM
18945,85,6100113,Y,"[""Faisalabad""]",Faisalabad,OSM
35323,86,6092614,Y,"[""Yangon""]",Yangon,OSM
10594,87,6092029,Y,"[""San Jose"", ""San Francisco""]",San Jose-San Francisco,OSM
23474,88,6080659,Y,"[""Miami"", ""Hialeah""]",Miami-Hialeah,OSM
13641,89,5755668,Y,"[""Qingdao""]",Qingdao,OSM
44816,90,5729651,Y,"[""Abidjan""]",Abidjan,OSM
1456,91,5723236,Y,"[""Manchester"", ""Liverpool"", ""Salford""]",Manchester-Liverpool-Salford,OSM
12640,92,5692527,Y,"[""Algiers""]",Algiers,OSM
2576,93,5629585,Y,"[""Amsterdam"", ""Rotterdam"", ""The Hague""]",Amsterdam-Rotterdam-The Hague,OSM
27498,94,5581004,Y,"[""Malda"", ""Chapainawabganj""]",Malda-Chapainawabganj,OSM
44876,95,5540122,Y,"[""Accra""]",Accra,OSM
16217,96,5533881,Y,"[""Fukuoka"", ""Kitakyushu""]",Fukuoka-Kitakyushu,OSM
28035,97,5500176,Y,"[""Fuzhou""]",Fuzhou,OSM
294,98,5405076,Y,"[""Saint Petersburg""]",Saint Petersburg,OSM
19518,99,5339489,Y,"[""Hefei""]",Hefei,OSM
8241,100,5317396,Y,"[""Barcelona""]",Barcelona,OSM
2603,101,5295312,Y,"[""Antwerp""]",Antwerp,OSM
43707,102,5287550,Y,"[""Colombo""]",Colombo,OSM
15466,103,5251391,Y,"[""Kabul""]",Kabul,OSM
13166,104,5240171,Y,"[""Mashhad""]",Mashhad,OSM
5659,105,5215087,Y,"[""Harbin""]",Harbin,OSM
14940,106,5193873,Y,"[""Busan""]",Busan,OSM
24012,107,5181447,Y,"[""Lucknow""]",Lucknow,OSM
9217,108,5147686,Y,"[""Ankara""]",Ankara,OSM
31981,109,5135206,Y,"[""Jeddah""]",Jeddah,OSM
1466,110,5023285,Y,"[""Leeds"", ""Sheffield""]",Leeds-Sheffield,OSM
16714,111,4890082,Y,"[""Rawalpindi""]",Rawalpindi,OSM
16299,112,4849933,Y,"[""Tijuana"", ""San Diego""]",Tijuana-San Diego,OSM
51254,113,4841956,Y,"[""Belo Horizonte""]",Belo Horizonte,OSM
11138,114,4837842,Y,"[""Taiyuan"", ""Jinzhong""]",Taiyuan-Jinzhong,OSM
45882,115,4822494,Y,"[""Medan""]",Medan,OSM
25058,116,4821889,Y,"[""Kanpur""]",Kanpur,OSM
8560,117,4791906,Y,"[""Tashkent""]",Tashkent,OSM
53780,118,4703298,Y,"[""Melbourne""]",Melbourne,OSM
38883,119,4697204,Y,"[""Kano""]",Kano,OSM
26488,120,4690634,Y,"[""Dubai""]",Dubai,OSM
53530,121,4673834,Y,"[""Sydney""]",Sydney,OSM
16304,122,4649438,Y,"[""Phoenix""]",Phoenix,OSM
31435,123,4635548,Y,"[""Chattogram""]",Chattogram,OSM
46465,124,4620550,Y,"[""Kampala""]",Kampala,OSM
34363,125,4586518,Y,"[""Santo Domingo""]",Santo Domingo,OSM
23712,126,4564982,Y,"[""Jaipur""]",Jaipur,OSM
45740,127,4556023,Y,"[""Yaounde""]",Yaounde,Geonames
45009,128,4544285,Y,"[""Port Harcourt""]",Port Harcourt,OSM
53482,129,4514227,Y,"[""Cape Town""]",Cape Town,OSM
43162,130,4508615,Y,"[""Kumasi""]",Kumasi,OSM
24761,131,4506739,Y,"[""Luxor"", ""Qena""]",Luxor-Qena,OSM
32770,132,4425782,Y,"[""Guadalajara"", ""Zapopan""]",Guadalajara-Zapopan,OSM
16380,133,4424885,Y,"[""Casablanca""]",Casablanca,OSM
40181,134,4409547,Y,"[""Coimbatore""]",Coimbatore,OSM
17632,135,4370189,Y,"[""Tel Aviv""]",Tel Aviv,OSM
2192,136,4360822,Y,"[""Berlin""]",Berlin,OSM
9028,137,4326874,Y,"[""Naples""]",Naples,OSM
31850,138,4312403,Y,"[""Kaohsiung"", ""Tainan""]",Kaohsiung-Tainan,OSM
15099,139,4221113,Y,"[""Atlanta""]",Atlanta,OSM
29410,140,4123881,Y,"[""Taichung""]",Taichung,OSM
11274,141,4075753,Y,"[""Dalian""]",Dalian,OSM
40118,142,4055897,Y,"[""Kozhikode""]",Kozhikode,OSM
21113,143,4048762,Y,"[""Kuwait City"", ""Al Jahra""]",Kuwait City-Al Jahra,OSM
26429,144,3984181,Y,"[""Monterrey"", ""Guadalupe""]",Monterrey-Guadalupe,OSM
15802,145,3969753,Y,"[""Luoyang"", ""Jianxi District""]",Luoyang-Jianxi District,OSM
26956,146,3921173,Y,"[""Varanasi""]",Varanasi,OSM
7547,147,3921162,Y,"[""Detroit""]",Detroit,OSM
36825,148,3905808,Y,"[""Guatemala City""]",Guatemala City,OSM
49075,149,3904748,Y,"[""Recife""]",Recife,OSM
46083,150,3904302,Y,"[""Mogadishu""]",Mogadishu,OSM
16499,151,3900692,Y,"[""Damascus""]",Damascus,OSM
6752,152,3898892,Y,"[""Changchun""]",Changchun,OSM
27740,153,3878325,Y,"[""Kunming""]",Kunming,OSM
23266,154,3875826,Y,"[""Nanchang""]",Nanchang,OSM
23160,155,3875777,Y,"[""Changsha""]",Changsha,OSM
7341,156,3860042,Y,"[""Xinshi"", ""Saybagh"", ""Tianshan"", ""Shuimogou""]",Xinshi-Saybagh-Tianshan,OSM
15813,157,3855719,Y,"[""Xuchang""]",Xuchang,OSM
48532,158,3774551,Y,"[""Bandar Lampung""]",Bandar Lampung,OSM
31060,159,3767746,Y,"[""Indore""]",Indore,OSM
45507,160,3745237,Y,"[""Douala""]",Douala,OSM
5768,161,3734580,Y,"[""Montreal""]",Montreal,OSM
38575,162,3685154,Y,"[""Bamako""]",Bamako,OSM
31595,163,3680268,Y,"[""Nanning""]",Nanning,OSM
53106,164,3651170,Y,"[""Porto Alegre""]",Porto Alegre,OSM
14757,165,3635146,Y,"[""Jining""]",Jining,OSM
49289,166,3596552,Y,"[""Purwokerto"", ""Cilacap""]",Purwokerto-Cilacap,OSM
43293,167,3575626,Y,"[""Ibadan""]",Ibadan,OSM
23410,168,3498894,Y,"[""Taizhou"", ""Wenling""]",Taizhou-Wenling,OSM
19012,169,3495212,Y,"[""Gujranwala""]",Gujranwala,OSM
36914,170,3477198,Y,"[""Dakar""]",Dakar,OSM
32265,171,3475382,Y,"[""Nagpur""]",Nagpur,OSM
53150,172,3470160,Y,"[""Durban""]",Durban,OSM
10801,173,3455690,Y,"[""Athens""]",Athens,OSM
47669,174,3454849,Y,"[""Fortaleza""]",Fortaleza,OSM
14824,175,3448419,Y,"[""Linyi""]",Linyi,OSM
44168,176,3444824,Y,"[""Cotonou"", ""Abomey-Calavi""]",Cotonou-Abomey-Calavi,OSM
24188,177,3434923,Y,"[""Kathmandu""]",Kathmandu,OSM
29882,178,3399123,Y,"[""Asansol""]",Asansol,OSM
14787,179,3389690,Y,"[""Zaozhuang""]",Zaozhuang,OSM
43813,180,3375974,Y,"[""Bello""]",Bello,OSM
48766,181,3375650,Y,"[""Mbuji-Mayi""]",Mbuji-Mayi,OSM
36388,182,3335596,Y,"[""Sana'a""]",Sana'a,OSM
51333,183,3332022,Y,"[""Antananarivo""]",Antananarivo,OSM
10512,184,3311133,Y,"[""Pyongyang""]",Pyongyang,OSM
8250,185,3281329,Y,"[""Rome""]",Rome,OSM
26115,186,3277143,Y,"[""Guiyang""]",Guiyang,OSM
50243,187,3231750,Y,"[""Salvador""]",Salvador,OSM
4206,188,3227258,Y,"[""Seattle""]",Seattle,OSM
3564,189,3219842,Y,"[""Kyiv""]",Kyiv,OSM
40514,190,3216244,Y,"[""Valencia"", ""Maracay""]",Valencia-Maracay,OSM
49603,191,3210485,Y,"[""Lumajang"", ""Jember""]",Lumajang-Jember,OSM
33641,192,3172748,Y,"[""Puebla City""]",Puebla City,OSM
50721,193,3163395,Y,"[""Lusaka""]",Lusaka,OSM
46939,194,3159331,Y,"[""Guayaquil""]",Guayaquil,OSM
52736,195,3142828,Y,"[""Maputo"", ""Matola""]",Maputo-Matola,OSM
20004,196,3121956,Y,"[""Multan""]",Multan,OSM
29820,197,3102174,Y,"[""Dhanbad""]",Dhanbad,OSM
26873,198,3099355,Y,"[""Prayagraj""]",Prayagraj,OSM
50670,199,3080267,Y,"[""Samambaia"", ""Taguatinga"", ""Gama"", ""Recanto das Emas"", ""Santa Maria""]",Samambaia-Taguatinga-Gama,OSM
3301,200,3075041,Y,"[""Frankfurt""]",Frankfurt,OSM
38635,201,3017372,Y,"[""Ouagadougou""]",Ouagadougou,OSM
40523,202,3009277,Y,"[""Caracas""]",Caracas,OSM
14587,203,3004520,Y,"[""Jiaozuo""]",Jiaozuo,OSM
7610,204,2981374,Y,"[""Boston""]",Boston,OSM
12295,205,2950612,Y,"[""Weifang""]",Weifang,OSM
52457,206,2922729,Y,"[""Curitiba""]",Curitiba,OSM
49240,207,2898273,Y,"[""Tasikmalaya""]",Tasikmalaya,OSM
11571,208,2884931,Y,"[""Tunis""]",Tunis,OSM
1913,209,2880219,Y,"[""Birmingham""]",Birmingham,OSM
41315,210,2871134,Y,"[""Cebu City"", ""Lapu-Lapu""]",Cebu City-Lapu-Lapu,OSM
9336,211,2866315,Y,"[""Baku""]",Baku,OSM
15540,212,2851539,Y,"[""Abbottabad"", ""Muzaffarabad""]",Abbottabad-Muzaffarabad,OSM
26531,213,2844123,Y,"[""Hyderabad""]",Hyderabad,OSM
10808,214,2837929,Y,"[""Izmir""]",Izmir,Geonames
23835,215,2789053,Y,"[""Agra""]",Agra,OSM
40425,216,2772129,Y,"[""Heredia"", ""Cartago""]",Heredia-Cartago,OSM
12954,217,2770414,Y,"[""Aleppo""]",Aleppo,OSM
13264,218,2765746,Y,"[""Lanzhou""]",Lanzhou,OSM
49632,219,2760406,Y,"[""Mataram""]",Mataram,OSM
8832,220,2724811,Y,"[""Denver"", ""Aurora""]",Denver-Aurora,OSM
46675,221,2721757,Y,"[""Quito""]",Quito,OSM
45698,222,2716673,Y,"[""Cali""]",Cali,OSM
52914,223,2713060,Y,"[""Brisbane""]",Brisbane,OSM
24792,224,2707645,Y,"[""Dammam""]",Dammam,OSM
3467,225,2672911,Y,"[""Katowice"", ""Sosnowiec"", ""Gliwice"", ""Zabrze"", ""Bytom""]",Katowice-Sosnowiec-Gliwice,OSM
31073,226,2662030,Y,"[""Bhopal""]",Bhopal,OSM
